,Neighborhood,Sectors,Population,Pop % of City,Major Roads,Street Density,Major Crime Report,Crime %,# Playgrounds,Jobs:Construction,Jobs:Manufacturing,Jobs:Retail,Jobs:Transportation,Jobs:Information,Jobs: Finance,Jobs:Science,Jobs:Educ,Jobs: Arits,Jobs: Public,Park,Playground,Street,Maintenance_responsibility,Address,Price,Beds,Baths
267,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,432 Iberia St,149900.0,3.0,2.0
268,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,219C Grandview Ave,1200000.0,3.0,2.0
269,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,109 Westwood St,49900.0,2.0,1.0
270,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,405 Griffin St,49900.0,2.0,1.0
271,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,1836 Greenleaf St,29900.0,3.0,1.0
272,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,211 Wilbert St,138500.0,2.0,2.0
273,Mt Washington,,,,,,,,,,,,,,,,,,,,,,,640 Science St,175000.0,0.0,0.0
274,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,941 Penn Ave #202,359000.0,2.0,2.0
275,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave Ph 603,1255000.0,2.0,2.0
276,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave Ph 600,1180000.0,2.0,2.0
277,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave #501,618000.0,2.0,2.0
278,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave #402,526600.0,2.0,2.0
279,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave #305,578000.0,2.0,2.0
280,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,2545 Penn Ave #302,502000.0,2.0,2.0
281,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,151 Fort Pitt #805,365000.0,1.0,2.0
282,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,215 25th St #4,2298000.0,2.0,2.0
283,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,320 Fort Duquesne Blvd Unit 9J,198000.0,1.0,1.0
284,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,11 5th Ave #801,750000.0,2.0,2.0
285,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,951 Liberty Ave Unit 4B,314800.0,1.0,1.0
286,Downtown Pgh,,,,,,,,,,,,,,,,,,,,,,,151 Fort Pitt Blvd #1403,588000.0,2.0,2.0
287,Baldwin Boro,,,,,,,,,,,,,,,,,,,,,,,4921 Plymouth Rd,210000.0,3.0,2.0
288,Baldwin Boro,,,,,,,,,,,,,,,,,,,,,,,26 Bonel,132000.0,3.0,2.0
289,Baldwin Boro,,,,,,,,,,,,,,,,,,,,,,,2511 Michael Dr,220000.0,3.0,2.0
290,Robinson Twp - NWA,,,,,,,,,,,,,,,,,,,,,,,149 Nottingham Dr,367500.0,4.0,2.0
291,Robinson Twp - NWA,,,,,,,,,,,,,,,,,,,,,,,602 Wingate,224900.0,3.0,2.0
292,Central North Side,,,,,,,,,,,,,,,,,,,,,,,914 Middle St,269900.0,3.0,2.0
293,Central North Side,,,,,,,,,,,,,,,,,,,,,,,138 Parkhurst St,260000.0,3.0,2.0
294,Central North Side,,,,,,,,,,,,,,,,,,,,,,,614 Taylor,574900.0,0.0,0.0
295,Central North Side,,,,,,,,,,,,,,,,,,,,,,,145 Henderson St,314900.0,4.0,2.0
296,Central North Side,,,,,,,,,,,,,,,,,,,,,,,521 W Jefferson St,615000.0,3.0,2.0
297,Central North Side,,,,,,,,,,,,,,,,,,,,,,,519 W Jefferson St,615000.0,3.0,2.0
298,Central North Side,,,,,,,,,,,,,,,,,,,,,,,517 W Jefferson St,615000.0,3.0,2.0
299,Central North Side,,,,,,,,,,,,,,,,,,,,,,,1519 Monterey St,543543.0,4.0,2.0
300,Central North Side,,,,,,,,,,,,,,,,,,,,,,,110 Alpine Ave,99900.0,3.0,2.0
301,Central North Side,,,,,,,,,,,,,,,,,,,,,,,1522 Arch St,39900.0,0.0,0.0
302,Scott Twp - SAL,,,,,,,,,,,,,,,,,,,,,,,1350 Greentree Rd,359000.0,3.0,3.0
303,Scott Twp - SAL,,,,,,,,,,,,,,,,,,,,,,,2225 Swallow Hill Rd,219000.0,3.0,2.0
304,Scott Twp - SAL,,,,,,,,,,,,,,,,,,,,,,,256 Orchard Spring Rd,142800.0,2.0,1.0
305,Scott Twp - SAL,,,,,,,,,,,,,,,,,,,,,,,694 Robinwood Dr Unit A,114900.0,1.0,1.0
306,McCandless,,,,,,,,,,,,,,,,,,,,,,,8012 Thompson Run Rd,399900.0,4.0,2.0
307,McCandless,,,,,,,,,,,,,,,,,,,,,,,335 Mohican Ave,275000.0,3.0,2.0
308,McCandless,,,,,,,,,,,,,,,,,,,,,,,604 Olde Ingomar Ct,162000.0,2.0,2.0
309,McCandless,,,,,,,,,,,,,,,,,,,,,,,8380 Van Buren Dr,89900.0,3.0,2.0
310,McCandless,,,,,,,,,,,,,,,,,,,,,,,895 Beacon Ln,369900.0,3.0,2.0
311,Castle Shannon,,,,,,,,,,,,,,,,,,,,,,,2882 E May St,256900.0,2.0,2.0
312,Castle Shannon,,,,,,,,,,,,,,,,,,,,,,,2907 Belleville St,119900.0,3.0,2.0
313,Castle Shannon,,,,,,,,,,,,,,,,,,,,,,,3830 Lyndell St,147900.0,3.0,2.0
314,Castle Shannon,,,,,,,,,,,,,,,,,,,,,,,Lots 41-44 Havelock,7000.0,0.0,0.0
315,E Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,6621 Tennis St,16960.0,3.0,0.0
316,Kilbuck Twp,,,,,,,,,,,,,,,,,,,,,,,32 Newgate Rd,1125000.0,5.0,6.0
317,West View,,,,,,,,,,,,,,,,,,,,,,,30 Lehigh Ave,175000.0,3.0,1.0
318,West View,,,,,,,,,,,,,,,,,,,,,,,119 Frankfort Ave,119000.0,3.0,1.0
319,Observatory Hill,,,,,,,,,,,,,,,,,,,,,,,19 Bonvue St,100000.0,3.0,22.0
320,Observatory Hill,,,,,,,,,,,,,,,,,,,,,,,3663 Baytree St,179900.0,4.0,2.0
321,Bellevue,,,,,,,,,,,,,,,,,,,,,,,315 Lincoln Ave,100000.0,8.0,3.0
322,Bellevue,,,,,,,,,,,,,,,,,,,,,,,549 Teece,149900.0,4.0,2.0
323,Bellevue,,,,,,,,,,,,,,,,,,,,,,,235 N Balph Ave,134900.0,3.0,1.0
324,Baldwin Twp,,,,,,,,,,,,,,,,,,,,,,,2217 Romine Ave,149900.0,3.0,2.0
325,South Park,,,,,,,,,,,,,,,,,,,,,,,1186 Snee Dr,447500.0,4.0,4.0
326,Pleasant Hills,,,,,,,,,,,,,,,,,,,,,,,123 Winifred Dr,164000.0,2.0,2.0
327,Pleasant Hills,,,,,,,,,,,,,,,,,,,,,,,106 Pleasant View Ct,425000.0,4.0,2.0
328,Pleasant Hills,,,,,,,,,,,,,,,,,,,,,,,158 Delano,239000.0,4.0,2.0
329,Pleasant Hills,,,,,,,,,,,,,,,,,,,,,,,110 W Bruceton Rd,18500.0,0.0,0.0
330,Lincoln-Larimer,,,,,,,,,,,,,,,,,,,,,,,7028 Lemington Ave,22500.0,0.0,0.0
331,Lincoln-Larimer,,,,,,,,,,,,,,,,,,,,,,,7246 Campania Ave,149900.0,3.0,2.0
332,Lincoln-Larimer,,,,,,,,,,,,,,,,,,,,,,,6517 Dean St,269900.0,9.0,0.0
333,Indiana TWP - NAL,,,,,,,,,,,,,,,,,,,,,,,117 Walnut Ridge Dr,300000.0,4.0,2.0
334,Dormont,,,,,,,,,,,,,,,,,,,,,,,1250 Arkansas Ave,84900.0,3.0,1.0
335,Reserve,,,,,,,,,,,,,,,,,,,,,,,303 Charlemma,164900.0,3.0,2.0
336,Greentree,,,,,,,,,,,,,,,,,,,,,,,1107 Greentree Rd,249900.0,2.0,2.0
337,Neville Twp,,,,,,,,,,,,,,,,,,,,,,,7410 Grand Ave,169500.0,4.0,0.0
338,Wilkins Twp,,,,,,,,,,,,,,,,,,,,,,,206 Sunset Dr,299900.0,3.0,3.0
339,Blackridge,,,,,,,,,,,,,,,,,,,,,,,2040 Kendon Dr,62731.0,3.0,1.0
340,Hill District,,,,,,,,,,,,,,,,,,,,,,,1715 Bedford Ave,129000.0,8.0,0.0
341,Hill District,,,,,,,,,,,,,,,,,,,,,,,3369 Milwaukee St,59900.0,4.0,2.0
342,Marshall Shadeland,,,,,,,,,,,,,,,,,,,,,,,3246 Langfitt Ave,112000.0,2.0,1.0
343,Marshall Shadeland,,,,,,,,,,,,,,,,,,,,,,,2507 Brighton Rd,37000.0,3.0,1.0
344,Marshall Shadeland,,,,,,,,,,,,,,,,,,,,,,,1306 Superior Ave,79900.0,3.0,1.0
345,Nottingham,,,,,,,,,,,,,,,,,,,,,,,0 Sugar Run,799000.0,0.0,0.0
