,Neighborhood,Sectors,Population,Pop % of City,Major Roads,Street Density,Major Crime Report,Crime %,# Playgrounds,Jobs:Construction,Jobs:Manufacturing,Jobs:Retail,Jobs:Transportation,Jobs:Information,Jobs: Finance,Jobs:Science,Jobs:Educ,Jobs: Arits,Jobs: Public,Park,Playground,Street,Maintenance_responsibility,Address,Price,Beds,Baths
68,Fineview,3.0,1285.0,0.0,0.65,34.0,70.0,5.4,1.0,0.02,0.02,0.15,0.06,0.03,0.06,0.08,0.37,0.05,0.02,Fineview Park,Fineview Playground,FINEVIEW AVE,Parks - Northern,,,,
69,Friendship,12.0,1785.0,0.01,0.57,41.5,89.0,5.0,0.0,0.03,0.05,0.14,0.01,0.03,0.05,0.04,0.39,0.14,0.04,,,,,,,,
70,Garfield,12.0,3675.0,0.01,1.25,36.0,182.0,5.0,2.0,0.05,0.05,0.09,0.05,0.0,0.09,0.05,0.36,0.08,0.08,Fort Pitt Park,Fort Pitt Playground,HILLCREST ST,Parks - Northeast,5008 Dearborn,122000.0,4.0,0.0
71,Garfield,12.0,3675.0,0.01,1.25,36.0,182.0,5.0,2.0,0.05,0.05,0.09,0.05,0.0,0.09,0.05,0.36,0.08,0.08,Fort Pitt Park,Fort Pitt Playground,HILLCREST ST,Parks - Northeast,5010 Dearborn,122000.0,4.0,0.0
72,Garfield,12.0,3675.0,0.01,1.25,36.0,182.0,5.0,2.0,0.05,0.05,0.09,0.05,0.0,0.09,0.05,0.36,0.08,0.08,Fort Pitt Park,Fort Pitt Playground,HILLCREST ST,Parks - Northeast,5211 Dearborn St,149900.0,4.0,2.0
73,Garfield,12.0,3675.0,0.01,1.25,36.0,182.0,5.0,2.0,0.05,0.05,0.09,0.05,0.0,0.09,0.05,0.36,0.08,0.08,Fort Pitt Park,Fort Pitt Playground,HILLCREST ST,Parks - Northeast,5358 Hillcrest St,99900.0,4.0,1.0
74,Glen Hazel,9.0,716.0,0.0,0.15,5.6,10.0,1.4,0.0,0.0,0.0,0.0,0.27,0.0,0.26,0.38,0.09,0.0,0.0,,,,,,,,
75,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,217 Bigelow St,187000.0,3.0,2.0
76,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,4224 Lydia St,189900.0,3.0,2.0
77,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,4134 Stanley St,179900.0,4.0,2.0
78,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,0 Bristol,49000.0,0.0,0.0
79,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,4300 Bristol,124900.0,2.0,1.0
80,Greenfield,9.0,7294.0,0.02,3.88,36.0,145.0,2.0,2.0,0.05,0.04,0.08,0.06,0.03,0.05,0.16,0.31,0.07,0.05,Four Mile Run Park,Four Mile Run Playground,SALINE ST,Parks - Schenley,641 Montclair St,183000.0,3.0,2.0
81,Hays,8.0,362.0,0.0,6.45,6.9,15.0,4.1,1.0,0.1,0.14,0.17,0.09,0.0,0.07,0.12,0.0,0.26,0.0,Hays Park,Hays Playground,HILLBURN ST,Parks - Southern,,,,
82,Hazelwood,9.0,4317.0,0.01,3.61,18.9,159.0,3.7,3.0,0.07,0.03,0.15,0.06,0.01,0.1,0.11,0.2,0.17,0.04,Bud Hammer Park,Bud Hammer Playground,BIGELOW ST,Parks - Schenley,203 Glen Caladh St,12000.0,2.0,1.0
83,Highland Park,12.0,6395.0,0.02,5.73,23.3,182.0,2.8,4.0,0.01,0.03,0.09,0.0,0.02,0.09,0.11,0.47,0.07,0.03,Highland Park,Farmhouse Playground,FARMHOUSE RD,Parks - Northeast,6345 Stanton Ave,299999.0,5.0,2.0
84,Highland Park,12.0,6395.0,0.02,5.73,23.3,182.0,2.8,4.0,0.01,0.03,0.09,0.0,0.02,0.09,0.11,0.47,0.07,0.03,Highland Park,Farmhouse Playground,FARMHOUSE RD,Parks - Northeast,6331 Glenview Pl,225000.0,4.0,1.0
85,Homewood-Brushton,11.0,3280.0,0.01,1.76,38.7,198.0,6.0,1.0,0.0,0.1,0.2,0.05,0.06,0.07,0.01,0.33,0.1,0.03,Baxter Park,Baxter Playground,FRANKSTOWN AVE,Parks - Eastern,7821 Formosa Way,7500.0,0.0,0.0
86,Knoxville,6.0,3747.0,0.01,1.2,47.7,223.0,6.0,0.0,0.02,0.09,0.09,0.02,0.05,0.07,0.1,0.32,0.1,0.06,,,,,,,,
87,Larimer,12.0,1728.0,0.01,2.93,35.5,139.0,8.0,1.0,0.05,0.0,0.14,0.06,0.01,0.07,0.07,0.35,0.14,0.07,Larimer Park,Larimer Playground,LENORA ST,Parks - Eastern,,,,
88,Lincoln Place,8.0,3227.0,0.01,2.95,22.3,32.0,1.0,2.0,0.07,0.04,0.17,0.04,0.0,0.09,0.12,0.22,0.06,0.07,Lincoln Place Park,Lincoln Place Playground,COX AVE,Parks - Southern,,,,
89,Lincoln-Lemington-Belmar,11.0,4883.0,0.02,6.31,16.8,133.0,2.7,2.0,0.03,0.04,0.1,0.01,0.05,0.07,0.1,0.36,0.05,0.1,Chadwick Park,Chadwick Playground,OBERLIN ST,Parks - Eastern,,,,
90,Manchester,3.0,2130.0,0.01,2.16,39.9,69.0,3.2,2.0,0.08,0.04,0.02,0.1,0.05,0.07,0.15,0.27,0.08,0.03,Manchester Park,Manchester Playground,FULTON ST,Parks - Northern,1410 Pennsylvania Ave,685000.0,4.0,4.0
91,Marshall-Shadeland,2.0,6043.0,0.02,7.06,19.6,222.0,3.7,2.0,0.06,0.05,0.14,0.04,0.02,0.07,0.03,0.31,0.16,0.02,Marshall-California Park,Marshall-California Playground,ATMORE ST,Parks - Northern,,,,
92,Middle Hill,15.0,1707.0,0.01,0.94,43.5,114.0,6.7,1.0,0.0,0.03,0.01,0.0,0.04,0.1,0.08,0.51,0.04,0.01,Vincennes Park,Vincennes Playground,WANDLESS ST,Parks - Schenley,,,,
93,Morningside,12.0,3346.0,0.01,1.94,39.9,67.0,2.0,2.0,0.03,0.02,0.1,0.03,0.01,0.08,0.08,0.34,0.13,0.05,Heth's Park,Heth's Playground,HAMPTON ST,Parks - Northeast,1708 Duffield St,209900.0,3.0,2.0
94,Morningside,12.0,3346.0,0.01,1.94,39.9,67.0,2.0,2.0,0.03,0.02,0.1,0.03,0.01,0.08,0.08,0.34,0.13,0.05,Heth's Park,Heth's Playground,HAMPTON ST,Parks - Northeast,1810 Chislett St,175000.0,3.0,1.0
